,사업장명,업태구분명,인허가일자,영업상태명,폐업일자,소재지전체주소,시설총규모
185,시민버거,통닭(치킨),20140805,폐업,20200214,대전광역시 서구 도마동 328-4번지 1층,44.8
186,라면국물편의점포차,호프/통닭,20130903,폐업,20190117,대전광역시 서구 도마동 40-11번지 2층,70.49
187,맛주리포차,호프/통닭,20140304,폐업,20160310,대전광역시 서구 도마동 171-1번지 1층,25.62
188,레몬피자치킨,통닭(치킨),20140305,폐업,20170901,대전광역시 서구 도마동 38번지 103호,35.23
189,빡빡치킨,통닭(치킨),20140314,폐업,20170328,대전광역시 서구 도마동 120-7번지 1층,29.6
190,스미스비어 배재점,호프/통닭,20131024,폐업,20190801,대전광역시 서구 도마동 29-22번지,28.89
191,가보자,호프/통닭,20140408,폐업,20180508,대전광역시 서구 도마동 121-20번지 1층,26.47
192,인성코리나 직영점,호프/통닭,20140917,폐업,20170718,대전광역시 서구 도마동 90-42번지,29.28
193,청정한라족발,호프/통닭,20140407,폐업,20160324,대전광역시 서구 도마동 17-38번지 1층,20.2
194,꼬꼬와꽥꽥이,호프/통닭,20040709,폐업,20061113,대전광역시 서구 도마동 164-19번지 1층,42.06
195,꼬치은행,호프/통닭,20041129,폐업,20060905,대전광역시 서구 도마동 100-1번지 1층,25.74
196,꼬꼬와소세지,호프/통닭,20050127,폐업,20080121,대전광역시 서구 도마동 138-1번지 1층,23.83
197,넘버텐,호프/통닭,20050401,폐업,20060906,대전광역시 서구 도마동 113-14번지 1층,54.69
198,웰믹스치킨,통닭(치킨),20060210,폐업,20061024,대전광역시 서구 도마동 142-40번지,10.57
199,아랑,호프/통닭,20041118,폐업,20060303,대전광역시 서구 도마동 142-6번지 1층,34.12
200,유턴비어,호프/통닭,20040715,폐업,20180417,대전광역시 서구 도마동 174-9번지 1층,73.93
201,엔,호프/통닭,20050430,폐업,20090521,대전광역시 서구 도마동 175-23번지 2층,49.3
202,토스트굽는사람들,통닭(치킨),20041124,폐업,20081024,대전광역시 서구 도마동 25-3번지,35.1
203,프랜드,호프/통닭,20050121,폐업,20150402,대전광역시 서구 도마동 67-15번지 1층,25.27
204,칸스치킨,통닭(치킨),20050214,폐업,20060501,대전광역시 서구 도마동 69-6번지 1층,31.9
205,술이좋은곳,호프/통닭,20060223,폐업,20170227,대전광역시 서구 변동 47-22번지 1층,28.25
206,매일도시락,통닭(치킨),20041124,폐업,20170330,대전광역시 서구 도마동 50-15번지 1층,26.88
207,오마이치킨,통닭(치킨),20041125,폐업,20071105,대전광역시 서구 변동 31-57번지 1층,30.93
208,평양통닭불닭,통닭(치킨),20041209,폐업,20051110,대전광역시 서구 변동 31-14번지 1층,44.55
209,아지트,호프/통닭,20041209,폐업,20070518,대전광역시 서구 변동 79-23번지 1층,31.64
210,신라왕족발보쌈,통닭(치킨),20040731,폐업,20060920,대전광역시 서구 도마동 101-22번지 1층,46.6
211,하니치킨,통닭(치킨),20050421,폐업,20060922,대전광역시 서구 도마동 134-4번지 1층,15.97
212,또래오래도마변동점,통닭(치킨),20041213,폐업,20100802,대전광역시 서구 도마동 15`-1번지 도마스토아 201호,34.91
213,환희실내마차,호프/통닭,20050520,폐업,20070529,대전광역시 서구 도마동 95-10번지 1층,15.43
214,맛그랑,통닭(치킨),20060713,폐업,20150506,대전광역시 서구 도마동 74-7번지 1층,71.61
215,카우보이,호프/통닭,20051230,폐업,20170328,대전광역시 서구 도마동 188-7번지 지하,87.36
216,친구야놀자,호프/통닭,20050531,폐업,20071001,대전광역시 서구 변동 7-8번지 1층,49.43
217,대명치킨,통닭(치킨),20050627,폐업,20060519,대전광역시 서구 도마동 134-6번지 1층,5.74
218,아리,호프/통닭,20111019,폐업,20190322,대전광역시 서구 변동 74-16번지 (1층),15.5
219,불타는닭발이와 수구리,호프/통닭,20050618,폐업,20060608,대전광역시 서구 도마동 125-2번지 (1층),26.37
220,시장통닭,통닭(치킨),20050705,폐업,20060601,대전광역시 서구 도마동 135-21번지 1층,14.28
221,옛날산골통닭,통닭(치킨),20141013,폐업,20200717,대전광역시 서구 도마동 133-19 1층,12.5
222,비케이,호프/통닭,20040521,폐업,20060406,대전광역시 서구 도마동 330-30번지 지하,30.63
223,원앤비어,호프/통닭,20120608,폐업,20191122,대전광역시 서구 변동 21-27번지 1층,82.68
224,오케이퓨전,호프/통닭,20050318,폐업,20111130,대전광역시 서구 변동 30-17번지 1층,42.59
225,코코빌치킨,통닭(치킨),20070330,폐업,20090928,대전광역시 서구 변동 252-1번지 1층,28.6
226,수정,호프/통닭,19990414,폐업,20090804,대전광역시 서구 도마동 142-44번지,53.32
227,가빈식당,호프/통닭,19981210,폐업,20100122,대전광역시 서구 도마동 126-4번지,87.23
228,더조은치킨,통닭(치킨),20120713,폐업,20140804,대전광역시 서구 도마동 328-4번지 1층 3호,44.8
229,벌떼2식당,호프/통닭,20050319,폐업,20170328,대전광역시 서구 도마동 110-13번지 (1층),26.56
230,우리들의청춘시대,호프/통닭,20040525,폐업,20081128,대전광역시 서구 도마동 120-6번지 제101호,90.15
231,성공시대,호프/통닭,20040525,폐업,20170328,대전광역시 서구 도마동 126-5번지 1층,12.74
232,쉐인,호프/통닭,20040615,폐업,20060707,대전광역시 서구 도마동 61-9번지 1층,69.77
233,순살파닭,통닭(치킨),20111230,폐업,20161229,대전광역시 서구 도마동 70-34번지 1층,49.25
234,치킨프린스 1호점,통닭(치킨),20111230,폐업,20170816,대전광역시 서구 도마동 147-50번지 2층,29.24
235,맥주창고비원,호프/통닭,20120118,폐업,20140923,대전광역시 서구 도마동 25-4번지 지하1,49.65
236,간빠이,호프/통닭,20040618,폐업,20080130,대전광역시 서구 도마동 113-1번지,77.11
237,해와달,호프/통닭,20040819,폐업,20170328,대전광역시 서구 도마동 135-22번지 지하1층,32.85
238,러셀피자치킨,통닭(치킨),20060919,폐업,20120319,대전광역시 서구 도마동 46-27번지 1층,20.53
239,친구친구,호프/통닭,20040610,폐업,20190507,대전광역시 서구 도마동 34-5번지 1층,30.38
240,대광식당,호프/통닭,20040611,폐업,20101119,대전광역시 서구 변동 33-29번지 1층,46.62
241,뭉치,호프/통닭,20040809,폐업,20060712,대전광역시 서구 도마동 90-42번지 1층,22.7
242,맥스윈치킨피자,통닭(치킨),20050110,폐업,20120309,대전광역시 서구 변동 15-5번지 1층,111.87
243,대광,호프/통닭,20060920,폐업,20090311,대전광역시 서구 도마동 127-1번지 1층,27.01
244,째즈식당,호프/통닭,19951228,폐업,20061020,대전광역시 서구 도마동 128-95번지,37.92
245,투존치킨 도마점,호프/통닭,20100830,폐업,20190423,대전광역시 서구 도마동 18-25번지 1층,40.4
246,티지식당,호프/통닭,20011110,폐업,20170320,대전광역시 서구 도마동 120-23번지,151.09
247,아우토반,호프/통닭,20010928,폐업,20050913,대전광역시 서구 변동 12-43번지,34.84
