,인허가일자,영업상태명,폐업일자,소재지전체주소,시설총규모,장사일
959,19971008,폐업,20170221,대전광역시 서구 도마동 25-8번지 (2층),115.27,20170221
960,19970605,폐업,20170515,대전광역시 서구 변동 8-09번지,19.97,20170515
961,19970610,폐업,20170515,대전광역시 서구 변동 49-14번지,38.46,20170515
962,19971121,폐업,20170328,대전광역시 서구 도마동 120-6번지,133.02,20170328
963,19980929,폐업,20170515,대전광역시 서구 변동 3-31번지,12.24,20170515
964,19990916,폐업,20160202,대전광역시 서구 도마동 25-8번지,24.0,20160202
965,19990605,폐업,20170607,대전광역시 서구 도마동 15-1번지,63.96,20170607
966,19990920,폐업,20170328,대전광역시 서구 도마동 120-1번지 1층,27.4,20170328
967,19971016,폐업,20170203,대전광역시 서구 도마동 29-33번지,24.29,20170203
968,19980601,폐업,20160401,대전광역시 서구 도마동 119-16번지,36.27,20160401
969,20190802,폐업,20200102,대전광역시 서구 도마동 127-14번지,11.17,20200102
970,19980217,폐업,20191001,대전광역시 서구 도마동 175-25번지 1층,50.21,20191001
971,20191015,폐업,20191106,대전광역시 서구 도마동 417-2번지,0.0,20191106
972,20191113,폐업,20200824,대전광역시 서구 도마동 108-6,18.43,20200824
973,20010529,폐업,20171026,대전광역시 서구 도마동 88-48번지,41.37,20171026
974,19970515,폐업,20180615,대전광역시 서구 도마동 69-07번지 1층,59.92,20180615
975,20051206,폐업,20170515,대전광역시 서구 변동 80-5번지 1층,46.57,20170515
976,20200211,폐업,20200212,대전광역시 서구 도마동 439-6번지 배재대학교,0.0,20200212
977,19900920,폐업,20170816,대전광역시 서구 도마동 143-8번지,0.0,20170816
978,20090610,폐업,20150121,대전광역시 서구 도마동 79-46번지 (1층),50.7,20150121
979,20021221,폐업,20180418,대전광역시 서구 도마동 49-9번지,63.97,20180418
980,20140403,폐업,20190318,대전광역시 서구 도마동 335-6번지 1층,21.77,20190318
981,20000201,폐업,20190605,대전광역시 서구 변동 21-14번지,84.38,20190605
982,19991018,폐업,20150420,대전광역시 서구 도마동 39-15번지,0.0,20150420
983,20050411,폐업,20160108,대전광역시 서구 변동 288-8번지 1층,29.24,20160108
984,20180730,폐업,20190730,대전광역시 서구 도마동 330-21번지,36.84,20190730
985,20180928,폐업,20181005,대전광역시 서구 도마동 175-18번지,0.0,20181005
986,20170731,폐업,20200123,대전광역시 서구 도마동 110-12번지,30.03,20200123
987,20110524,폐업,20170328,대전광역시 서구 도마동 189-4번지 (1층),22.7,20170328
988,20120125,폐업,20150506,대전광역시 서구 도마동 33-1번지,39.33,20150506
989,20110601,폐업,20161026,대전광역시 서구 도마동 40-14번지 (1층),29.73,20161026
990,20101228,폐업,20190605,대전광역시 서구 도마동 122-33번지,61.57,20190605
991,20101229,폐업,20150223,대전광역시 서구 도마동 15-1번지 (지하1층 101호),155.2,20150223
992,20171106,폐업,20180830,대전광역시 서구 도마동 17-39번지 1층,114.93,20180830
993,20151014,폐업,20200828,대전광역시 서구 변동 252-126,57.94,20200828
994,20070612,폐업,20170918,대전광역시 서구 도마동 26-29번지 1층,42.21,20170918
995,20070612,폐업,20170131,대전광역시 서구 도마동 34-29번지 1층,38.33,20170131
996,19990225,폐업,20180806,대전광역시 서구 도마동 175-14번지,95.42,20180806
997,20070801,폐업,20170713,대전광역시 서구 도마동 26-29번지 1층,69.89,20170713
998,20070820,폐업,20190716,대전광역시 서구 도마동 172-34번지 1층,141.37,20190716
999,20070822,폐업,20170720,대전광역시 서구 도마동 175-14번지 (1층),91.66,20170720
1000,20151013,폐업,20191111,대전광역시 서구 도마동 49-7번지 2층,44.1,20191111
1001,20070912,폐업,20200305,대전광역시 서구 도마동 47-28번지 (1층),35.28,20200305
1002,20050310,폐업,20170328,대전광역시 서구 도마동 120-21번지 지하1층,107.0,20170328
1003,20040924,폐업,20170330,대전광역시 서구 도마동 66-1번지 1층,28.61,20170330
1004,20070824,폐업,20160808,대전광역시 서구 도마동 565-26번지 (1층),36.96,20160808
1005,20060901,폐업,20191227,대전광역시 서구 도마동 69-6번지 1층,32.69,20191227
1006,20070313,폐업,20191127,대전광역시 서구 도마동 40-5번지 2층,73.03,20191127
1007,20071031,폐업,20170529,대전광역시 서구 도마동 170-1번지 (1층),29.47,20170529
1008,20030828,폐업,20170328,대전광역시 서구 도마동 142-53번지,63.3,20170328
1009,20030327,폐업,20200525,대전광역시 서구 도마동 157-19번지,32.09,20200525
1010,20030326,폐업,20170328,대전광역시 서구 도마동 113-16번지,64.25,20170328
1011,20070112,폐업,20190820,대전광역시 서구 도마동 39-4번지 102호,30.94,20190820
1012,20170913,폐업,20200611,대전광역시 서구 변동 70-9번지,118.07,20200611
1013,20030830,폐업,20200728,대전광역시 서구 도마동 164-31,31.91,20200728
1014,20110701,폐업,20181002,대전광역시 서구 변동 42-33번지 1층,100.88,20181002
1015,20101110,폐업,20160801,대전광역시 서구 도마동 50-6번지 (1층),27.0,20160801
1016,20101111,폐업,20181210,대전광역시 서구 변동 24-65번지 (1층),28.7,20181210
1017,20101111,폐업,20180618,대전광역시 서구 도마동 109-13번지 1층,32.6,20180618
1018,20070208,폐업,20191023,대전광역시 서구 도마동 34-44번지 1층,158.71,20191023
1019,20120828,폐업,20170809,대전광역시 서구 도마동 29-22번지,32.28,20170809
1020,20120905,폐업,20150424,대전광역시 서구 도마동 110-20번지,31.7,20150424
1021,20110707,폐업,20191217,대전광역시 서구 도마동 121-19번지 (1층),25.2,20191217
1022,20170717,폐업,20171116,대전광역시 서구 도마동 359-10번지,29.31,20171116
1023,20110826,폐업,20200113,대전광역시 서구 변동 7-8번지,53.6,20200113
1024,20110822,폐업,20170720,대전광역시 서구 도마동 194번지 (2층),49.6,20170720
1025,20070426,폐업,20160803,대전광역시 서구 도마동 49-1번지 1층,38.73,20160803
1026,20060313,폐업,20160211,대전광역시 서구 도마동 114-11번지,32.8,20160211
1027,20060322,폐업,20170809,대전광역시 서구 도마동 173-1번지 써머스빌상가 106호,33.94,20170809
1028,20061031,폐업,20150512,대전광역시 서구 도마동 123-9번지 2층,75.8,20150512
1029,20060403,폐업,20151201,대전광역시 서구 도마동 106-21번지 (1층),68.39,20151201
1030,20120827,폐업,20190826,대전광역시 서구 도마동 174-1번지,43.22,20190826
1031,20110307,폐업,20170328,대전광역시 서구 도마동 142-14번지 (2층),83.16,20170328
1032,20110425,폐업,20170328,대전광역시 서구 도마동 144-24번지 1층,40.1,20170328
1033,20110816,폐업,20150616,대전광역시 서구 변동 19-20번지 1층,30.6,20150616
1034,20110829,폐업,20161019,대전광역시 서구 도마동 49-9번지 (1층),29.73,20161019
1035,20060404,폐업,20200224,대전광역시 서구 도마동 328-4번지 도마@상가1층5호,84.05,20200224
1036,20061025,폐업,20190729,대전광역시 서구 도마동 88-47번지 1층,52.97,20190729
1037,20061030,폐업,20170515,대전광역시 서구 변동 28-9번지 1층,20.02,20170515
1038,20060414,폐업,20190115,대전광역시 서구 도마동 188-1번지 1층,35.8,20190115
1039,20061121,폐업,20190826,대전광역시 서구 도마동 174-1번지 1층,67.47,20190826
1040,20110406,폐업,20151005,대전광역시 서구 도마동 34-42번지 (1층),21.7,20151005
1041,20110525,폐업,20191231,대전광역시 서구 도마동 176-18번지 1층,47.79,20191231
1042,20110915,폐업,20170821,대전광역시 서구 도마동 25-6번지 (3층),153.18,20170821
1043,20171016,폐업,20191231,대전광역시 서구 도마동 173-1번지,34.78,20191231
1044,20171018,폐업,20190726,대전광역시 서구 도마동 26-29번지,95.34,20190726
1045,20061102,폐업,20191218,대전광역시 서구 도마동 101-12번지,68.6,20191218
1046,20061106,폐업,20181119,대전광역시 서구 도마동 41-12번지,35.69,20181119
1047,20110428,폐업,20150828,대전광역시 서구 도마동 128-50번지 1층,64.8,20150828
1048,20060504,폐업,20170328,대전광역시 서구 도마동 171-39번지 (1층),29.7,20170328
1049,20070629,폐업,20170328,대전광역시 서구 도마동 125-2번지 (1층),38.25,20170328
1050,20061219,폐업,20200115,대전광역시 서구 도마동 124-5번지 1층,42.36,20200115
1051,20180320,폐업,20180418,대전광역시 서구 변동 49-1번지 변동종합시장,0.0,20180418
1052,20180416,폐업,20200318,대전광역시 서구 도마동 88-4번지,84.0,20200318
1053,20180419,폐업,20190620,대전광역시 서구 변동 7-39번지,38.66,20190620
1054,20180420,폐업,20200630,대전광역시 서구 도마동 119-10,43.88,20200630
1055,20110209,폐업,20150105,대전광역시 서구 도마동 50-28번지 (1층),27.07,20150105
1056,20110224,폐업,20170328,대전광역시 서구 도마동 209-4번지 (1층),107.19,20170328
1057,20180427,폐업,20191107,대전광역시 서구 도마동 26-29번지,17.89,20191107
1058,20180213,폐업,20190306,대전광역시 서구 도마동 50-29번지,30.29,20190306
1059,20111010,폐업,20170515,대전광역시 서구 변동 24-51번지 (1층),37.8,20170515
1060,20111011,폐업,20180411,대전광역시 서구 도마동 125-19번지 (1층),23.5,20180411
1061,20150921,폐업,20180618,대전광역시 서구 변동 73-3번지,45.5,20180618
1062,20150923,폐업,20151022,대전광역시 서구 도마동 463-3번지,0.0,20151022
1063,20160412,폐업,20190212,대전광역시 서구 도마동 140-25번지,17.37,20190212
1064,20160426,폐업,20160727,대전광역시 서구 변동 49-1번지,20.09,20160727
1065,20151028,폐업,20180326,대전광역시 서구 변동 41-6번지,27.5,20180326
1066,20030926,폐업,20181114,대전광역시 서구 도마동 194-1번지 2층,250.2,20181114
1067,20161101,폐업,20190429,대전광역시 서구 도마동 40-14번지,29.73,20190429
1068,20150430,폐업,20160801,대전광역시 서구 도마동 93-8번지,25.7,20160801
1069,20151113,폐업,20170816,대전광역시 서구 도마동 114-1번지,9.1,20170816
1070,20151120,폐업,20200204,대전광역시 서구 도마동 180-2번지,19.08,20200204
1071,20151125,폐업,20160324,대전광역시 서구 도마동 140-25번지,17.06,20160324
1072,20030917,폐업,20170801,대전광역시 서구 도마동 132-13번지 1층,26.28,20170801
1073,20030917,폐업,20190730,대전광역시 서구 도마동 60-14번지 2층,98.92,20190730
1074,20150622,폐업,20200612,대전광역시 서구 도마동 164-28번지,50.9,20200612
1075,20151127,폐업,20170922,대전광역시 서구 변동 50-12번지,14.5,20170922
1076,20150706,폐업,20200730,대전광역시 서구 도마동 46-15,79.06,20200730
1077,20160118,폐업,20200413,대전광역시 서구 도마동 35-7번지,26.45,20200413
1078,20170111,폐업,20200608,대전광역시 서구 도마동 106-18번지,90.96,20200608
1079,20151201,폐업,20170220,대전광역시 서구 변동 7-39번지,36.9,20170220
1080,20160211,폐업,20191217,대전광역시 서구 도마동 190-15번지,27.41,20191217
1081,20150825,폐업,20171226,대전광역시 서구 변동 47-2번지,21.5,20171226
1082,20171227,폐업,20181018,대전광역시 서구 도마동 138-1번지,24.76,20181018
1083,20160629,폐업,20170428,대전광역시 서구 도마동 60-29번지,98.4,20170428
