날짜,네이버 검색량
2017-07-10,11.74709
2017-07-11,11.11196
2017-07-12,19.79129
2017-07-13,11.0206
2017-07-14,14.35474
2017-07-15,17.21446
2017-07-16,14.53196
2017-07-17,10.71129
2017-07-18,11.72287
2017-07-19,11.35633
2017-07-20,13.1032
2017-07-21,17.417
2017-07-22,21.26078
2017-07-23,17.36086
2017-07-24,12.67171
2017-07-25,14.05314
2017-07-26,13.0977
2017-07-27,12.58475
2017-07-28,15.68333
2017-07-29,16.36799
2017-07-30,15.09334
2017-07-31,15.55565
2017-08-01,15.39274
2017-08-02,14.06194
2017-08-03,13.56111
2017-08-04,14.77192
2017-08-05,15.90128
2017-08-06,16.08731
2017-08-07,13.35967
2017-08-08,13.76254
2017-08-09,13.29803
2017-08-10,13.81428
2017-08-11,21.16832
2017-08-12,15.74608
2017-08-13,15.92219
2017-08-14,15.32669
2017-08-15,16.10051
2017-08-16,10.5682
2017-08-17,9.93087
2017-08-18,13.03055
2017-08-19,14.72129
2017-08-20,14.98106
2017-08-21,10.35575
2017-08-22,9.79988
2017-08-23,9.75255
2017-08-24,9.56542
2017-08-25,11.32991
2017-08-26,14.08946
2017-08-27,12.89296
2017-08-28,9.53901
2017-08-29,8.68923
2017-08-30,8.85324
2017-08-31,11.62491
2017-09-01,11.35743
2017-09-02,13.7031
2017-09-03,12.08942
2017-09-04,7.98696
2017-09-05,10.11139
2017-09-06,10.45592
2017-09-07,8.84994
2017-09-08,11.72397
2017-09-09,15.00418
2017-09-10,14.03112
2017-09-11,9.42343
2017-09-12,8.7894
2017-09-13,8.89617
2017-09-14,8.51532
2017-09-15,12.04539
2017-09-16,15.71415
2017-09-17,14.33273
2017-09-18,9.03266
2017-09-19,11.07123
2017-09-20,9.42563
2017-09-21,9.24951
2017-09-22,12.53522
2017-09-23,15.37513
2017-09-24,14.67396
2017-09-25,9.3882
2017-09-26,9.84941
2017-09-27,10.26549
2017-09-28,10.66066
2017-09-29,13.71851
2017-09-30,14.5936
2017-10-01,15.71526
2017-10-02,12.52201
2017-10-03,12.84012
2017-10-04,15.27716
2017-10-05,18.84796
2017-10-06,16.62777
2017-10-07,16.29975
2017-10-08,16.76646
2017-10-09,15.67563
2017-10-10,10.33044
2017-10-11,9.90445
2017-10-12,10.29411
2017-10-13,13.32445
2017-10-14,16.45715
2017-10-15,15.0383
2017-10-16,9.44874
2017-10-17,9.79218
2017-10-18,10.28751
2017-10-19,10.03104
2017-10-20,12.9535
2017-10-21,15.44447
2017-10-22,15.08783
2017-10-23,9.48287
2017-10-24,9.51919
2017-10-25,9.71512
2017-10-26,9.48617
2017-10-27,11.7636
2017-10-28,15.73617
2017-10-29,15.89027
2017-10-30,9.52249
2017-10-31,9.02056
2017-11-01,8.68923
2017-11-02,8.77619
2017-11-03,13.2441
2017-11-04,15.89688
2017-11-05,13.30574
2017-11-06,9.22199
2017-11-07,11.58858
2017-11-08,9.64908
2017-11-09,9.02276
2017-11-10,13.74713
2017-11-11,14.96015
2017-11-12,13.95958
2017-11-13,9.30785
2017-11-14,11.07454
2017-11-15,13.29693
2017-11-16,16.24251
2017-11-17,15.27496
2017-11-18,17.98718
2017-11-19,15.341
2017-11-20,10.39428
2017-11-21,10.7168
2017-11-22,12.44496
2017-11-23,14.5947
2017-11-24,15.88587
2017-11-25,20.28333
2017-11-26,17.08678
2017-11-27,11.04812
2017-11-28,10.73881
2017-11-29,10.63424
2017-11-30,10.95456
2017-12-01,14.38556
2017-12-02,19.85954
2017-12-03,16.30305
2017-12-04,10.67387
2017-12-05,11.05693
2017-12-06,10.81586
2017-12-07,10.8687
2017-12-08,14.64644
2017-12-09,17.77364
2017-12-10,18.19522
2017-12-11,12.37341
2017-12-12,13.87482
2017-12-13,11.7625
2017-12-14,11.51153
2017-12-15,15.08453
2017-12-16,18.49903
2017-12-17,15.42356
2017-12-18,11.98155
2017-12-19,11.13178
2017-12-20,11.1714
2017-12-21,10.54178
2017-12-22,13.32115
2017-12-23,15.12196
2017-12-24,19.7924
2017-12-25,15.84734
2017-12-26,10.14661
2017-12-27,9.99911
2017-12-28,10.1224
2017-12-29,13.42462
2017-12-30,14.15881
2017-12-31,17.14952
2018-01-01,14.02342
2018-01-02,10.14882
2018-01-03,9.50268
2018-01-04,9.5346
2018-01-05,11.75589
2018-01-06,12.88966
2018-01-07,12.22481
2018-01-08,10.52087
2018-01-09,11.06463
2018-01-10,12.42955
2018-01-11,12.34479
2018-01-12,15.61729
2018-01-13,14.85448
2018-01-14,13.21327
2018-01-15,10.58911
2018-01-16,11.34092
2018-01-17,9.95068
2018-01-18,9.65128
2018-01-19,13.101
2018-01-20,14.20284
2018-01-21,12.96891
2018-01-22,10.95676
2018-01-23,11.58968
2018-01-24,12.92268
2018-01-25,14.80604
2018-01-26,19.06591
2018-01-27,15.42246
2018-01-28,13.28923
2018-01-29,11.95623
2018-01-30,14.46041
2018-01-31,11.26607
2018-02-01,10.85989
2018-02-02,12.9524
2018-02-03,14.24467
2018-02-04,13.31124
2018-02-05,10.06736
2018-02-06,10.02773
2018-02-07,9.65238
2018-02-08,9.75695
2018-02-09,13.80217
2018-02-10,13.72292
2018-02-11,13.79557
2018-02-12,10.66616
2018-02-13,10.37667
2018-02-14,10.31393
2018-02-15,10.63754
2018-02-16,13.77465
2018-02-17,16.6674
2018-02-18,13.19456
2018-02-19,10.53628
2018-02-20,10.77514
2018-02-21,10.43391
2018-02-22,10.94025
2018-02-23,13.76254
2018-02-24,13.7009
2018-02-25,13.43893
2018-02-26,10.94685
2018-02-27,10.85769
2018-02-28,16.29645
2018-03-01,11.62601
2018-03-02,10.49555
2018-03-03,12.55283
2018-03-04,11.77351
2018-03-05,8.43716
2018-03-06,7.42779
2018-03-07,7.98806
2018-03-08,9.00625
2018-03-09,11.85056
2018-03-10,13.76034
2018-03-11,12.18738
2018-03-12,7.83396
2018-03-13,7.34743
2018-03-14,7.77232
2018-03-15,9.04147
2018-03-16,11.66563
2018-03-17,13.80988
2018-03-18,12.82471
2018-03-19,8.37662
2018-03-20,8.45808
2018-03-21,8.97543
2018-03-22,7.50484
2018-03-23,10.89292
2018-03-24,13.51928
2018-03-25,11.84946
2018-03-26,7.54226
2018-03-27,6.88952
2018-03-28,7.18893
2018-03-29,7.61601
2018-03-30,10.79825
2018-03-31,13.35527
2018-04-01,11.96393
2018-04-02,7.91541
2018-04-03,7.95834
2018-04-04,9.07449
2018-04-05,9.37389
2018-04-06,12.17748
2018-04-07,14.47252
2018-04-08,13.42792
2018-04-09,8.06732
2018-04-10,8.66282
2018-04-11,8.643
2018-04-12,8.00237
2018-04-13,12.49449
2018-04-14,16.29645
2018-04-15,12.97221
2018-04-16,8.25334
2018-04-17,8.51091
2018-04-18,8.0409
2018-04-19,8.10144
2018-04-20,12.55943
2018-04-21,14.53196
2018-04-22,14.04433
2018-04-23,10.92924
2018-04-24,9.74594
