,날짜,구글 검색량,네이버 검색량
434,2016-07-28,,13.017339999999999
435,2016-07-29,,14.931529999999999
436,2016-07-30,,18.3141
437,2016-08-01,,16.85452
438,2016-08-02,,18.09616
439,2016-08-03,,15.15828
440,2016-08-04,,14.46812
441,2016-08-05,,16.42193
442,2016-08-06,,18.94152
443,2016-08-08,,16.46046
444,2016-08-09,,16.5298
445,2016-08-10,,16.17316
446,2016-08-11,,15.06582
447,2016-08-12,,17.2739
448,2016-08-13,,18.7599
449,2016-08-15,,17.62504
450,2016-08-16,,18.49022
451,2016-08-17,,13.577620000000001
452,2016-08-18,,13.08119
453,2016-08-19,,15.91779
454,2016-08-20,,18.3086
455,2016-08-22,,11.81644
456,2016-08-23,,11.49832
457,2016-08-24,,11.00409
458,2016-08-25,,11.676639999999999
459,2016-08-26,,15.27716
460,2016-08-27,,17.67567
461,2016-08-29,,9.91106
462,2016-08-30,,11.80653
463,2016-08-31,,13.126320000000002
464,2016-09-01,,14.791739999999999
465,2016-09-02,,16.119229999999998
466,2016-09-03,,18.65973
467,2016-09-05,,11.666739999999999
468,2016-09-06,,13.94527
469,2016-09-07,,11.84175
470,2016-09-08,,11.78561
471,2016-09-09,,15.642610000000001
472,2016-09-10,,18.83035
473,2016-09-12,,12.0652
474,2016-09-13,,12.6541
475,2016-09-14,,13.582020000000002
476,2016-09-15,,15.72626
477,2016-09-16,,18.99106
478,2016-09-17,,19.85624
479,2016-09-19,,9.64358
480,2016-09-20,,8.85545
481,2016-09-21,,8.74207
482,2016-09-22,,8.55604
483,2016-09-23,,11.943019999999999
484,2016-09-24,,15.1891
485,2016-09-26,,9.13063
486,2016-09-27,,10.46032
487,2016-09-28,,9.253910000000001
488,2016-09-29,,8.44487
489,2016-09-30,,12.071810000000001
490,2016-10-01,,14.472520000000001
491,2016-10-03,,12.68712
492,2016-10-04,,8.59787
493,2016-10-05,,9.16916
494,2016-10-06,,9.2374
495,2016-10-07,,12.73886
496,2016-10-08,,14.69377
497,2016-10-10,,8.80921
498,2016-10-11,,9.75805
499,2016-10-12,,8.462480000000001
500,2016-10-13,,8.3337
501,2016-10-14,,11.00849
502,2016-10-15,,13.676689999999999
503,2016-10-17,,8.35571
504,2016-10-18,,8.024389999999999
505,2016-10-19,,8.9325
506,2016-10-20,,9.01175
507,2016-10-21,,11.438880000000001
508,2016-10-22,,13.343160000000001
509,2016-10-24,,7.811939999999999
510,2016-10-25,,8.45478
511,2016-10-26,,7.63693
512,2016-10-27,,7.52905
513,2016-10-28,,10.64305
514,2016-10-29,,13.68769
515,2016-10-31,,8.00567
516,2016-11-01,,8.35131
517,2016-11-02,,7.85267
518,2016-11-03,,7.91211
519,2016-11-04,,10.36346
520,2016-11-05,,13.654670000000001
521,2016-11-07,,8.18179
522,2016-11-08,,8.44487
523,2016-11-09,,8.11245
524,2016-11-10,,8.513119999999999
525,2016-11-11,,10.84778
526,2016-11-12,,14.2953
527,2016-11-14,,8.16748
528,2016-11-15,,8.69254
529,2016-11-16,,9.17026
530,2016-11-17,,10.59682
531,2016-11-18,,12.27875
532,2016-11-19,,15.07683
533,2016-11-21,,8.77619
534,2016-11-22,,9.08
535,2016-11-23,,9.02166
536,2016-11-24,,10.32493
537,2016-11-25,,12.494489999999999
538,2016-11-26,,16.513289999999998
539,2016-11-28,,8.81692
540,2016-11-29,,8.503210000000001
541,2016-11-30,,8.96002
542,2016-12-01,,10.24018
543,2016-12-02,,12.13455
544,2016-12-03,,14.69927
545,2016-12-05,,8.97433
546,2016-12-06,,9.56102
547,2016-12-07,,9.07669
548,2016-12-08,,19.47648
549,2016-12-09,,15.47529
550,2016-12-10,,15.594170000000002
551,2016-12-12,,9.333169999999999
552,2016-12-13,,10.287510000000001
553,2016-12-14,,9.959489999999999
554,2016-12-15,,11.353019999999999
555,2016-12-16,,12.64529
556,2016-12-17,,14.345939999999999
557,2016-12-19,,8.4966
558,2016-12-20,,8.32049
559,2016-12-21,,9.3761
560,2016-12-22,,9.723930000000001
561,2016-12-23,,11.7581
562,2016-12-24,,14.950239999999999
563,2016-12-26,,9.85051
564,2016-12-27,,9.31115
565,2016-12-28,,8.810319999999999
566,2016-12-29,,10.7289
567,2016-12-30,,12.31837
568,2016-12-31,,14.78953
569,2017-01-02,,9.41462
570,2017-01-03,,8.94461
571,2017-01-04,,8.25334
572,2017-01-05,,8.82242
573,2017-01-06,,10.50215
574,2017-01-07,,11.80873
575,2017-01-09,,9.32436
576,2017-01-10,,10.28641
577,2017-01-11,,9.81749
578,2017-01-12,,9.35848
579,2017-01-13,,11.74048
580,2017-01-14,,13.61615
581,2017-01-16,,9.551110000000001
582,2017-01-17,,9.84061
583,2017-01-18,,9.14054
584,2017-01-19,,9.29134
585,2017-01-20,,14.034429999999999
586,2017-01-21,,17.01083
587,2017-01-23,,10.13671
588,2017-01-24,,9.85822
589,2017-01-25,,9.5368
590,2017-01-26,,10.48564
591,2017-01-27,,10.91713
592,2017-01-28,,14.36355
593,2017-01-30,,16.00475
594,2017-01-31,,11.41136
595,2017-02-01,,10.00132
596,2017-02-02,,10.5792
597,2017-02-03,,11.961730000000001
598,2017-02-04,,13.484060000000001
599,2017-02-06,,10.20055
600,2017-02-07,,10.13781
601,2017-02-08,,9.95508
602,2017-02-09,,13.205570000000002
603,2017-02-10,,15.86936
604,2017-02-11,,19.65811
605,2017-02-13,,15.71085
606,2017-02-14,,14.348139999999999
607,2017-02-15,,13.3993
608,2017-02-16,,13.968379999999998
609,2017-02-17,,16.6729
610,2017-02-18,,17.80556
611,2017-02-20,,16.11042
612,2017-02-21,,14.747710000000001
613,2017-02-22,,15.341
614,2017-02-23,,14.16651
615,2017-02-24,,16.3691
616,2017-02-25,,17.7098
617,2017-02-27,,12.47908
618,2017-02-28,,13.92105
619,2017-03-01,,14.35144
620,2017-03-02,,8.836730000000001
621,2017-03-03,,10.19395
622,2017-03-04,,13.39049
623,2017-03-06,,8.56485
624,2017-03-07,,8.96992
625,2017-03-08,,9.24511
626,2017-03-09,,9.55552
627,2017-03-10,,22.53874
628,2017-03-11,,18.89859
629,2017-03-13,,9.6799
630,2017-03-14,,10.1224
631,2017-03-15,,11.60619
632,2017-03-16,,10.45812
633,2017-03-17,,13.73833
634,2017-03-18,,16.83251
635,2017-03-20,,9.6821
636,2017-03-21,,10.52637
637,2017-03-22,,10.34805
638,2017-03-23,,10.73661
639,2017-03-24,,13.524779999999998
640,2017-03-25,,18.187520000000003
641,2017-03-27,,9.52029
642,2017-03-28,,10.34695
643,2017-03-29,,9.15044
644,2017-03-30,,8.56815
645,2017-03-31,,14.09937
646,2017-04-01,,16.048779999999997
647,2017-04-03,,7.86918
648,2017-04-04,,8.14217
649,2017-04-05,,10.2699
650,2017-04-06,,8.7806
651,2017-04-07,,11.10646
652,2017-04-08,,14.989870000000002
653,2017-04-10,,8.30067
654,2017-04-11,,8.56815
655,2017-04-12,,8.49881
656,2017-04-13,,8.41735
657,2017-04-14,,12.31177
658,2017-04-15,,15.048210000000001
659,2017-04-17,,9.315560000000001
660,2017-04-18,,9.48617
661,2017-04-19,,9.28253
662,2017-04-20,,9.86813
663,2017-04-21,,12.39763
664,2017-04-22,,15.7747
665,2017-04-24,,8.913789999999999
666,2017-04-25,,9.72283
667,2017-04-26,,9.41242
668,2017-04-27,,9.48507
669,2017-04-28,,13.31564
670,2017-04-29,,14.53636
671,2017-05-01,,10.54288
672,2017-05-02,,11.7702
673,2017-05-03,,12.63979
674,2017-05-04,,11.84726
675,2017-05-05,,14.96895
676,2017-05-06,,14.76091
677,2017-05-08,,12.0597
678,2017-05-09,,19.2002
679,2017-05-10,,8.9314
680,2017-05-11,,8.83893
681,2017-05-12,,12.8071
682,2017-05-13,,16.46816
683,2017-05-15,,10.04314
684,2017-05-16,,9.6788
685,2017-05-17,,9.25722
686,2017-05-18,,9.628169999999999
687,2017-05-19,,12.70363
688,2017-05-20,,16.59144
689,2017-05-22,,8.871960000000001
690,2017-05-23,,10.602319999999999
691,2017-05-24,,8.995239999999999
692,2017-05-25,,10.48674
693,2017-05-26,,15.16709
694,2017-05-27,,17.20125
695,2017-05-29,,9.42123
696,2017-05-30,,12.2116
697,2017-05-31,,9.64247
698,2017-06-01,,10.2743
699,2017-06-02,,12.40423
700,2017-06-03,,15.31679
701,2017-06-05,,12.74986
702,2017-06-06,,14.83356
703,2017-06-07,,8.069519999999999
704,2017-06-08,,8.18179
705,2017-06-09,,10.961160000000001
706,2017-06-10,,13.35857
707,2017-06-12,,7.91211
708,2017-06-13,,8.32489
709,2017-06-14,,7.747000000000001
710,2017-06-15,,7.934130000000001
711,2017-06-16,,100.0
712,2017-06-17,,24.24819
713,2017-06-19,,10.91163
714,2017-06-20,,11.54565
715,2017-06-21,,11.04482
716,2017-06-22,,10.20385
717,2017-06-23,,12.535219999999999
718,2017-06-24,,16.15335
719,2017-06-26,,10.26109
720,2017-06-27,,10.7146
721,2017-06-28,,9.26932
722,2017-06-29,,9.5346
723,2017-06-30,,12.69483
724,2017-07-01,,15.0405
725,2017-07-03,,9.46085
726,2017-07-04,,9.81419
727,2017-07-05,,9.74044
728,2017-07-06,,10.39428
729,2017-07-07,,15.636
730,2017-07-08,,15.11425
731,2017-07-10,,11.74709
732,2017-07-11,,11.11196
733,2017-07-12,,19.79129
734,2017-07-13,,11.0206
735,2017-07-14,,14.35474
736,2017-07-15,,17.21446
737,2017-07-17,,10.71129
738,2017-07-18,,11.72287
739,2017-07-19,,11.35633
740,2017-07-20,,13.1032
741,2017-07-21,,17.417
742,2017-07-22,,21.26078
743,2017-07-24,,12.671710000000001
744,2017-07-25,,14.053139999999999
